Frequency,Pw_Anten1,Pw_Anten2
2412,9.37844649,9.49865231
2437,9.441471831,9.557457596
2472,9.497927042,9.487455921
5180,10.25920206,10.1971795
5220,10.01540253,10.3924105
5260,10.10864209,9.706800765
5300,9.869624435,10.52213341
5320,9.862852867,10.15409937
5500,10.03706268,9.948127674
5540,9.919927655,10.32138259
5580,9.966955023,10.08944346
5620,9.767588634,10.19687841
5660,10.03367675,9.96855513
5700,9.748044708,10.19449321
5745,10.36920945,9.981083574
5785,10.23523236,10.28360059
5825,10.47172799,10.03667889
5865,10.87151835,9.924710873
5885,9.985109337,10.18424484
